count,technique,act1,act2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
50,25,timestamp,,2011-10-06 16:06:41.780000+02:00,2011-10-10 10:55:54.602000+02:00,2011-10-11 20:47:13.278000+02:00,2011-10-13 19:55:44.615000+02:00,2011-10-17 10:24:15.535000+02:00,2011-10-18 13:19:02.053000+02:00,2011-10-19 20:52:59.301000+02:00,2011-10-21 15:43:10.420000+02:00,2011-10-24 13:45:09.111000+02:00,2011-10-25 16:39:38.103000+02:00,2011-10-27 12:36:38.103000+02:00,2011-10-28 16:46:54.052000+02:00,2011-10-31 14:31:18.957000+01:00,2011-11-01 16:22:10.947000+01:00,2011-11-02 19:29:27.122000+01:00,2011-11-04 10:14:34.075000+01:00,2011-11-05 15:28:17.003000+01:00,2011-11-07 20:06:05.692000+01:00,2011-11-09 09:04:59.559000+01:00,2011-11-10 11:20:32.894000+01:00,2011-11-11 11:46:02.171000+01:00,2011-11-12 16:48:12.059000+01:00,2011-11-14 19:18:43.440000+01:00,2011-11-16 09:09:43.207000+01:00,2011-11-17 12:46:33.318000+01:00,2011-11-18 13:01:48.708000+01:00,2011-11-20 12:52:02.372000+01:00,2011-11-21 20:35:16.073000+01:00,2011-11-23 10:28:28.314000+01:00,2011-11-24 15:27:42.823000+01:00,2011-11-25 20:12:47.563000+01:00,2011-11-28 15:34:37.121000+01:00,2011-11-29 17:27:10.382000+01:00,2011-12-01 10:07:36.923000+01:00,2011-12-02 12:24:10.678000+01:00,2011-12-05 11:15:39.990000+01:00,2011-12-06 12:36:01.590000+01:00,2011-12-07 15:20:36.454000+01:00,2011-12-09 08:45:28.622000+01:00,2011-12-11 13:53:46.280000+01:00,2011-12-13 01:24:41.147000+01:00,2011-12-14 12:35:10.074000+01:00,2011-12-15 19:36:51.051000+01:00,2011-12-17 14:51:05.211000+01:00,2011-12-19 18:29:58.219000+01:00,2011-12-21 08:59:08.061000+01:00,2011-12-22 12:50:35.851000+01:00,2011-12-23 19:26:35.107000+01:00,2011-12-27 14:24:53.876000+01:00,2011-12-28 19:29:08.217000+01:00
0,ar1,A_SUBMITTED,A_SUBMITTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ar2,A_SUBMITTED,A_PARTLYSUBMITTED,10,9,10,6,7,8,5,8,7,7,4,6,5,6,5,6,5,5,7,6,6,10,5,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ar4,A_SUBMITTED,A_PREACCEPTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,arima211,A_SUBMITTED,W_Completeren aanvraag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,arima212,A_SUBMITTED,A_ACCEPTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,arima411,A_SUBMITTED,O_SELECTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,arima412,A_SUBMITTED,A_FINALIZED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,garch,A_SUBMITTED,O_CREATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,hw,A_SUBMITTED,O_SENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
