count,technique,act1,act2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
75,50,timestamp,,2000-06-19 00:00:00.000000+0200,2000-07-28 00:00:00.000000+0200,2000-08-28 00:00:00.000000+0200,2000-09-23 00:00:00.000000+0200,2000-10-17 00:00:00.000000+0200,2000-11-14 00:00:00.000000+0100,2000-12-07 00:00:00.000000+0100,2001-01-19 00:00:00.000000+0100,2001-03-12 00:00:00.000000+0100,2001-05-27 00:00:00.000000+0200,2001-07-19 00:00:00.000000+0200,2001-08-28 00:00:00.000000+0200,2001-10-18 00:00:00.000000+0200,2001-11-16 00:00:00.000000+0100,2001-12-19 00:00:00.000000+0100,2002-02-02 00:00:00.000000+0100,2002-04-10 00:00:00.000000+0200,2002-04-10 00:00:00.000000+0200,2002-04-10 00:00:00.000000+0200,2002-06-15 00:00:00.000000+0200,2002-08-07 00:00:00.000000+0200,2002-09-11 00:00:00.000000+0200,2002-10-25 00:00:00.000000+0200,2002-11-22 00:00:00.000000+0100,2003-01-08 00:00:00.000000+0100,2003-01-09 00:00:00.000000+0100,2003-02-14 00:00:00.000000+0100,2003-05-27 00:00:00.000000+0200,2003-09-16 00:00:00.000000+0200,2003-11-03 00:00:00.000000+0100,2003-11-24 00:00:00.000000+0100,2004-01-07 00:00:00.000000+0100,2004-01-16 00:00:00.000000+0100,2004-06-21 00:00:00.000000+0200,2004-09-13 00:00:00.000000+0200,2004-11-20 00:00:00.000000+0100,2004-12-15 00:00:00.000000+0100,2004-12-23 00:00:00.000000+0100,2005-01-11 00:00:00.000000+0100,2005-02-26 00:00:00.000000+0100,2005-03-30 00:00:00.000000+0200,2005-06-07 00:00:00.000000+0200,2005-07-23 00:00:00.000000+0200,2005-09-18 00:00:00.000000+0200,2005-11-21 00:00:00.000000+0100,2005-12-16 00:00:00.000000+0100,2006-01-10 00:00:00.000000+0100,2006-02-22 00:00:00.000000+0100,2006-02-27 00:00:00.000000+0100,2006-03-22 00:00:00.000000+0100,2006-05-05 00:00:00.000000+0200,2006-07-11 00:00:00.000000+0200,2006-09-01 00:00:00.000000+0200,2006-10-25 00:00:00.000000+0200,2006-11-28 00:00:00.000000+0100,2006-12-14 00:00:00.000000+0100,2007-01-10 00:00:00.000000+0100,2007-02-28 00:00:00.000000+0100,2007-02-21 00:00:00.000000+0100,2007-04-16 00:00:00.000000+0200,2007-07-17 00:00:00.000000+0200,2007-09-03 00:00:00.000000+0200,2007-10-25 00:00:00.000000+0200,2007-12-10 00:00:00.000000+0100,2008-01-18 00:00:00.000000+0100,2008-03-12 00:00:00.000000+0100,2008-06-12 00:00:00.000000+0200,2008-08-15 00:00:00.000000+0200,2008-10-03 00:00:00.000000+0200,2008-11-16 00:00:00.000000+0100,2009-01-02 00:00:00.000000+0100,2009-02-28 00:00:00.000000+0100,2009-03-29 00:00:00.000000+0100,2009-03-30 00:00:00.000000+0200,2009-05-11 00:00:00.000000+0200
0,actual,Create Fine,Create Fine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,actual,Create Fine,Send Fine,1983,1299,1168,1857,1245,1457,1429,437,623,974,939,1728,1096,1445,2294,1357,501,16,1,0,1928,1559,1771,1413,1049,853,0,712,1608,499,1901,1865,13,2,497,1191,1350,1826,2257,2,6,1171,656,1596,987,660,2465,1096,1168,0,5,1303,747,1273,1192,1184,2950,538,13,0,1272,969,1702,1085,1071,1701,1120,1071,1073,1121,1314,1209,1159,24,1
2,actual,Create Fine,Insert Fine Notification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,actual,Create Fine,Add penalty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,actual,Create Fine,Send for Credit Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,actual,Create Fine,Payment,702,388,740,574,241,147,129,84,156,172,309,688,750,458,99,104,67,231,2,5,371,685,460,208,95,140,1,124,381,1178,390,107,158,23,980,1803,751,259,65,122,393,278,1133,998,1139,795,307,311,642,34,303,540,1359,1281,657,454,217,269,475,0,477,1164,957,422,331,250,407,636,1220,832,403,449,525,350,16
6,actual,Create Fine,Insert Date Appeal to Prefecture,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0
7,actual,Create Fine,Send Appeal to Prefecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,actual,Create Fine,Receive Result Appeal from Prefecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,actual,Create Fine,Notify Result Appeal to Offender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,actual,Create Fine,Appeal to Judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,actual,Create Fine,start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,actual,Create Fine,end,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,actual,Send Fine,Create Fine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,actual,Send Fine,Send Fine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,actual,Send Fine,Insert Fine Notification,1280,1170,971,635,1688,1519,1093,1104,880,894,703,916,1093,599,915,2049,1437,54,1,0,805,660,880,1055,1117,741,0,605,844,684,1304,1871,495,2,456,619,948,1638,146,1257,517,618,806,503,1066,980,75,1823,979,354,359,852,210,1179,1070,625,475,2354,263,0,446,568,1267,1068,417,1191,1066,627,993,848,926,980,912,25,1
16,actual,Send Fine,Add penalty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,actual,Send Fine,Send for Credit Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,actual,Send Fine,Payment,22,16,45,22,21,57,58,32,71,135,89,73,227,55,26,190,175,56,0,0,33,145,300,488,231,64,0,7,12,5,4,5,8,2,5,0,3,3,1,4,1,2,2,0,3,3,2,1,6,1,9,9,4,3,10,6,6,12,20,0,32,164,7,8,9,6,9,8,8,9,5,9,4,2,0
19,actual,Send Fine,Insert Date Appeal to Prefecture,3,0,2,1,0,0,2,0,2,2,1,2,0,0,0,3,3,3,0,0,1,14,28,12,6,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,11,0,1,2,0,1,0,3,1,1,1,3,0,0
20,actual,Send Fine,Send Appeal to Prefecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,actual,Send Fine,Receive Result Appeal from Prefecture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,actual,Send Fine,Notify Result Appeal to Offender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
