count,technique,act1,act2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
75,50,timestamp,,2000-06-19 00:00:00.000000+0200,2000-07-28 00:00:00.000000+0200,2000-08-28 00:00:00.000000+0200,2000-09-23 00:00:00.000000+0200,2000-10-17 00:00:00.000000+0200,2000-11-14 00:00:00.000000+0100,2000-12-08 00:00:00.000000+0100,2001-01-19 00:00:00.000000+0100,2001-03-13 00:00:00.000000+0100,2001-05-27 00:00:00.000000+0200,2001-07-19 00:00:00.000000+0200,2001-08-28 00:00:00.000000+0200,2001-10-18 00:00:00.000000+0200,2001-11-16 00:00:00.000000+0100,2001-12-21 00:00:00.000000+0100,2002-02-02 00:00:00.000000+0100,2002-04-10 00:00:00.000000+0200,2002-04-10 00:00:00.000000+0200,2002-04-10 00:00:00.000000+0200,2002-06-15 00:00:00.000000+0200,2002-08-07 00:00:00.000000+0200,2002-09-11 00:00:00.000000+0200,2002-10-25 00:00:00.000000+0200,2002-11-23 00:00:00.000000+0100,2003-01-10 00:00:00.000000+0100,2003-01-10 00:00:00.000000+0100,2003-02-14 00:00:00.000000+0100,2003-05-28 00:00:00.000000+0200,2003-09-16 00:00:00.000000+0200,2003-11-03 00:00:00.000000+0100,2003-11-24 00:00:00.000000+0100,2004-01-10 00:00:00.000000+0100,2004-01-17 00:00:00.000000+0100,2004-06-21 00:00:00.000000+0200,2004-09-15 00:00:00.000000+0200,2004-11-21 00:00:00.000000+0100,2004-12-17 00:00:00.000000+0100,2004-12-25 00:00:00.000000+0100,2005-01-11 00:00:00.000000+0100,2005-02-26 00:00:00.000000+0100,2005-03-30 00:00:00.000000+0200,2005-06-07 00:00:00.000000+0200,2005-07-23 00:00:00.000000+0200,2005-09-19 00:00:00.000000+0200,2005-11-21 00:00:00.000000+0100,2005-12-17 00:00:00.000000+0100,2006-01-11 00:00:00.000000+0100,2006-02-24 00:00:00.000000+0100,2006-02-28 00:00:00.000000+0100,2006-03-23 00:00:00.000000+0100,2006-05-05 00:00:00.000000+0200,2006-07-11 00:00:00.000000+0200,2006-09-01 00:00:00.000000+0200,2006-10-25 00:00:00.000000+0200,2006-11-28 00:00:00.000000+0100,2006-12-15 00:00:00.000000+0100,2007-01-10 00:00:00.000000+0100,2007-02-28 00:00:00.000000+0100,2007-02-28 00:00:00.000000+0100,2007-04-18 00:00:00.000000+0200,2007-07-17 00:00:00.000000+0200,2007-09-03 00:00:00.000000+0200,2007-10-25 00:00:00.000000+0200,2007-12-10 00:00:00.000000+0100,2008-01-18 00:00:00.000000+0100,2008-03-13 00:00:00.000000+0100,2008-06-13 00:00:00.000000+0200,2008-08-15 00:00:00.000000+0200,2008-10-04 00:00:00.000000+0200,2008-11-17 00:00:00.000000+0100,2009-01-03 00:00:00.000000+0100,2009-02-28 00:00:00.000000+0100,2009-03-30 00:00:00.000000+0200,2009-03-30 00:00:00.000000+0200,2009-05-12 00:00:00.000000+0200
0,garch,Add penalty,Add penalty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,garch,Add penalty,Appeal to Judge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,1,3,1,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,garch,Add penalty,Create Fine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,garch,Add penalty,Insert Date Appeal to Prefecture,0,6,2,7,6,7,9,8,7,8,9,2,1,5,1,0,9,15,0,0,0,3,0,4,4,2,0,8,15,3,1,1,8,8,19,5,4,0,0,1,17,14,4,2,2,9,4,1,5,0,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
4,garch,Add penalty,Insert Fine Notification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,garch,Add penalty,Notify Result Appeal to Offender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,5,9,1,1,1,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,garch,Add penalty,Payment,0,62,76,89,210,100,156,312,349,290,250,141,77,154,160,77,128,347,3,6,117,73,62,112,87,150,0,194,153,143,195,30,183,65,516,92,95,48,12,11,228,268,226,259,134,255,233,722,212,13,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2,163.2
7,garch,Add penalty,Receive Result Appeal from Prefecture,0,0,9,0,5,0,0,28,0,0,0,0,0,0,0,3,2,2,0,0,4,8,7,4,2,22,0,3,21,4,0,0,21,0,14,1,2,2,0,0,12,8,10,6,4,8,0,2,1,0,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
8,garch,Add penalty,Send Appeal to Prefecture,0,2,10,4,3,3,6,14,12,16,68,1,2,16,2,0,4,41,0,0,0,8,4,5,11,27,0,19,20,20,0,0,38,2,45,20,17,14,3,1,44,30,36,23,28,43,9,17,32,0,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
